id,pnr,name,flight,seat,bags,checked_in,security,boarded,loyalty,fast_track,wheelchair,infant
1,45604K,Lindsay Perrine,MK014,10D,1,0,0,0,2,1,0,0
2,LGFIUW,Hansley Li Ying Pin,MK014,28D,1,0,0,0,0,0,0,0
3,SGJR3F,Harold Perrine,MK014,33D,0,0,0,0,0,0,0,0
4,J3GGAD,Quentin Gujadhur,MK014,5H,1,0,0,0,0,0,0,0
5,47PO0L,Harold Seetohul,MK014,3A,0,0,0,0,0,0,0,0
6,3O756U,Krishen Woodun,MK014,56F,1,0,0,0,0,0,0,0
7,NX7BQE,Nishal Rughoonundun,MK014,45J,1,0,0,0,0,0,0,0
8,NW4F3V,Gopal Nundlall,MK014,22G,0,0,0,0,0,0,0,0
9,5UA519,Sandrine Rasoanaivo,MK014,9F,1,0,0,0,0,0,0,0
10,6A9L61,Devina Beeharry,MK014,30J,1,0,0,0,0,0,0,0
11,WJVJP0,Damien Joomun,MK014,50C,2,0,0,0,1,0,0,0
12,U5HG8H,Eshan Moutou,MK014,37C,0,0,0,0,0,0,0,1
13,HH0B8V,Damien Uteem,MK014,33H,0,0,0,0,2,1,0,0
14,ELPBR6,Lindsay Desvaux de Marigny,MK014,43G,1,0,0,0,1,0,0,0
15,F12MHY,Eshan Sewnath,MK014,30A,0,0,0,0,2,1,0,0
16,XI8E70,Pravin Boodhoo,MK014,14H,2,0,0,0,2,1,0,0
17,ET1K4V,Yannick Gungapersad,AF463,8G,2,0,0,0,3,1,0,0
18,QH7NTV,Hansley Toolsee,AF463,14C,0,0,0,0,0,0,0,1
19,NWBXM3,Eshan Hurdoyal,AF463,25A,2,0,0,0,0,0,0,0
20,OOMOGV,Ashvin Rughoonundun,AF463,39H,0,0,0,0,2,1,0,0
21,NEJ2UO,Krishen Valaydon,AF463,21C,0,0,0,0,2,1,0,0
22,J0OIQZ,Wesley Imrith,AF463,24G,0,0,0,0,0,0,0,0
23,D1L47Z,Lindsay Jugnauth,AF463,53F,0,0,0,0,0,0,0,0
24,SJ8ZG2,Sanjay Gopaul,AF463,8C,1,0,0,0,0,0,0,0
25,8H5V69,Veronique Bissessur,AF463,25F,1,0,0,0,0,0,0,0
26,BW4YFZ,Marie-Claire Gujadhur,AF463,44B,0,0,0,0,0,0,0,0
27,D9X8U2,Quentin Curpen,AF463,18F,1,0,0,0,3,1,0,0
28,AYA0ID,Hemant Cangy,AF463,38D,1,0,0,0,0,0,0,0
29,0529PR,Estelle Li Ying Pin,AF463,30G,2,0,0,0,2,1,0,0
30,0K95QV,Doorgesh Veerapen,AF463,18D,1,0,0,0,0,0,0,0
31,CHHTP5,Ismael Gopaul,AF463,8G,1,0,0,0,0,0,0,0
32,NR8W7G,Trisha Vydelingum,AF463,56F,2,0,0,0,0,0,0,0
33,IW0EK8,Damien Itoola,EK702,36B,0,0,0,0,0,0,0,0
34,1ZJC0Y,Hansley Purmessur,EK702,10D,1,0,0,0,2,1,0,0
35,CIBM2O,Jessica Valaydon,EK702,33C,1,0,0,0,0,0,0,0
36,BBWZTX,Pravin Bhundoo,EK702,2C,2,0,0,0,0,0,1,0
37,8R20EQ,Lindsay Ramsamy,EK702,32B,2,0,0,0,0,0,0,0
38,YTBYET,Ishwar Espitalier-Noel,EK702,20F,2,0,0,0,0,0,0,0
39,BMDWRH,Emilie Espitalier-Noel,EK702,33B,2,0,0,0,0,0,0,0
40,8FND0I,Kavi Jhurry,EK702,33E,1,0,0,0,0,0,1,0
41,5NLL5K,Rachel Mudhoo,EK702,44J,0,0,0,0,0,0,0,0
42,KN6C39,Thierry Veerapen,EK702,22A,1,0,0,0,0,0,0,0
43,M81K98,Rachel Sewnath,EK702,49C,0,0,0,0,2,1,0,0
